bib,fullname,sex,category,utmb_index,band,outcome,dnf,cause,last_point_id,cum_km,reached_cour,t_voza,t_cont,op_voza,op_cont
3,Courtney DAUWALTER,F,40-44W,859,Index 800+,DNF,TRUE,Abandoned,22,67.8,FALSE,1.3947222222222222,3.1997222222222224,-0.0033239638738307153,-0.15380388932977831
5,Riley BRADY,F,20-34W,826,Index 800+,Finisher,FALSE,Other,200,173.6,TRUE,1.4891666666666667,3.2830555555555554,-0.04320232604652291,-0.10987667572651658
6,Ben DHIMAN,H,35-39M,946,Index 800+,Finisher,FALSE,Other,200,173.6,TRUE,1.2691666666666668,2.756388888888889,-0.009320404050423439,-0.020585632550700478
7,Fuzhao XIANG,F,35-39W,823,Index 800+,DNF,TRUE,Abandoned,10,32.4,FALSE,1.6005555555555555,3.4725,-0.14942774680997278,-0.28733325387460185
8,Caleb OLSON,H,20-34M,945,Index 800+,Finisher,FALSE,Other,200,173.6,TRUE,1.281111111111111,2.7719444444444443,-0.019795844754059027,-0.032665561582207306
10,Hannes NAMBERGER,H,35-39M,941,Index 800+,Finisher,FALSE,Other,200,173.6,TRUE,1.2938888888888889,2.8130555555555556,-0.02669692435243924,-0.059872756746607296
12,Vincent BOUILLARD,H,20-34M,941,Index 800+,DNF,TRUE,Abandoned,22,67.8,FALSE,1.2691666666666668,2.756666666666667,-0.001974702130217153,-0.0034838678577184686
13,Abby HALL,F,35-39W,808,Index 800+,Finisher,FALSE,Other,200,173.6,TRUE,1.4308333333333334,3.176111111111111,0.04669750306987241,0.07020356103135672
14,Jonathan ALBON,H,35-39M,938,Index 800+,DNF,TRUE,Abandoned,48,114,TRUE,1.3455555555555556,2.9491666666666667,-0.07395439350503147,-0.1855524767633858
15,Blandine L HIRONDEL,F,35-39W,807,Index 800+,Finisher,FALSE,Other,200,173.6,TRUE,1.398611111111111,3.1041666666666665,0.08071636532972228,0.14629972591568435
16,Chris MYERS,H,20-34M,937,Index 800+,DNF,TRUE,Abandoned,48,114,TRUE,1.2763888888888888,2.7713888888888887,-0.0033174933085089787,-0.004296534730297193
17,Lucy BARTHOLOMEW,F,20-34W,799,Index 700–800,Finisher,FALSE,Other,200,173.6,TRUE,1.4230555555555555,3.0955555555555554,0.07081885137065383,0.1884832665706753
19,Eszter CSILLAG,F,40-44W,798,Index 700–800,DNF,TRUE,Abandoned,28,81.3,TRUE,1.4644444444444444,3.2119444444444443,0.031270567477581834,0.07633682201591847
23,Andreas REITERER,H,20-34M,930,Index 800+,DNF,TRUE,Abandoned,36,86.6,TRUE,1.293611111111111,2.8069444444444445,-0.010237559293282898,-0.015483228797491855
24,Antonina IUSHINA,F,20-34W,791,Index 700–800,Finisher,FALSE,Other,200,173.6,TRUE,1.5466666666666666,3.334722222222222,-0.03792394438589116,-0.016447776770378005
25,Baptiste CHASSAGNE,H,20-34M,926,Index 800+,Finisher,FALSE,Other,200,173.6,TRUE,1.2691666666666668,2.7558333333333334,0.020105104638762805,0.04957620855824095
26,Shea AQUILANO,F,20-34W,789,Index 700–800,Finisher,FALSE,Other,200,173.6,TRUE,1.5430555555555556,3.388888888888889,-0.030543488401927284,-0.061947684025066355
27,Josh WADE,H,20-34M,920,Index 800+,DNF,TRUE,Abandoned,22,67.8,FALSE,1.3194444444444444,2.9902777777777776,-0.02130416420747525,-0.1639020411467495
30,Rachel DRAKE,F,35-39W,786,Index 700–800,Finisher,FALSE,Other,200,173.6,TRUE,1.468888888888889,3.2841666666666667,0.04931750532589443,0.05585785850798591
31,Drew HOLMEN,H,20-34M,920,Index 800+,Finisher,FALSE,Other,200,173.6,TRUE,1.2816666666666667,2.7719444444444443,0.01647361357030244,0.05443129218658374
32,Lin CHEN,F,35-39W,782,Index 700–800,Finisher,FALSE,Other,200,173.6,TRUE,1.51,3.3466666666666667,0.015875509920370887,0.010960517835626703
33,Rod FARVARD,H,20-34M,915,Index 800+,DNF,TRUE,Abandoned,22,67.8,FALSE,1.2694444444444444,2.7569444444444446,0.03611037173818559,0.08695287711801593
34,Rachel ENTREKIN,F,35-39W,781,Index 700–800,Finisher,FALSE,Other,200,173.6,TRUE,1.4091666666666667,3.1283333333333334,0.11864004270882102,0.2337232417094219
35,Raul Octaviu BUTACI,H,40-44M,913,Index 800+,Finisher,FALSE,Other,200,173.6,TRUE,1.3258333333333334,2.89,-0.01730552900303772,-0.03907924103233866
36,Martina VALMASSOI,F,35-39W,781,Index 700–800,DNF,TRUE,Abandoned,40,99.4,TRUE,1.4652777777777777,3.201388888888889,0.06252893159771002,0.16066768615386648
37,Tobias GEISER,H,35-39M,913,Index 800+,DNF,TRUE,Abandoned,58,144,TRUE,1.2933333333333332,2.8108333333333335,0.01519447099696248,0.040087425634327954
39,Paul CORNUT CHAUVINC,H,20-34M,912,Index 800+,DNF,TRUE,Abandoned,28,81.3,TRUE,1.2694444444444444,2.7825,0.040571527839211426,0.07193593180454186
40,Eleanor DAVIS,F,35-39W,774,Index 700–800,DNF,TRUE,Abandoned,48,114,TRUE,1.5283333333333333,3.3233333333333333,0.013151508159979014,0.07005859859250635
41,Joaquin LOPEZ,H,20-34M,912,Index 800+,Finisher,FALSE,Other,200,173.6,TRUE,1.2769444444444444,2.792777777777778,0.033071527839211363,0.06165815402676424
43,Antoine CHARVOLIN,H,20-34M,910,Index 800+,Finisher,FALSE,Other,200,173.6,TRUE,1.268888888888889,2.7680555555555557,0.04410693786457387,0.09341798265398914
44,Jazmine LOWTHER,F,20-34W,772,Index 700–800,Finisher,FALSE,Other,200,173.6,TRUE,1.423888888888889,3.175,0.12155635886900466,0.2274529560934766
45,Canyon WOODWARD,H,20-34M,907,Index 800+,DNF,TRUE,Abandoned,10,32.4,FALSE,1.4088888888888889,3.180277777777778,-0.09141397161089615,-0.3082286207445816
46,Ekaterina MITYAEVA,F,35-39W,769,Index 700–800,DNF,TRUE,Abandoned,48,114,TRUE,1.4597222222222221,3.2558333333333334,0.09170830018726958,0.1603033280028418
47,Zach MILLER,H,35-39M,908,Index 800+,DNF,TRUE,Abandoned,62,155.3,TRUE,1.2683333333333333,2.756388888888889,0.04764726704609806,0.112132406650888
48,Careth ARNOLD,F,35-39W,766,Index 700–800,Finisher,FALSE,Other,200,173.6,TRUE,1.4402777777777778,3.1638888888888888,0.11719243744834443,0.26604377230034826
49,Ionel Cristian MANOLE MANOLE,H,35-39M,904,Index 800+,DNF,TRUE,Abandoned,52,127.5,TRUE,1.3597222222222223,2.95,-0.03775622397655719,-0.06735048126290336
50,Katarzyna DOMBROWSKA,F,35-39W,764,Index 700–800,Finisher,FALSE,Other,200,173.6,TRUE,1.5630555555555556,3.328611111111111,-0.0015281906603508797,0.11058220910863181
51,Yannick NOËL,H,40-44M,905,Index 800+,Finisher,FALSE,Other,200,173.6,TRUE,1.2855555555555556,2.8333333333333335,0.03491202649474738,0.04577986480598635
52,Anna LOUDEN,F,20-34W,763,Index 700–800,Finisher,FALSE,Other,200,173.6,TRUE,1.4747222222222223,3.2455555555555557,0.08884302632734228,0.19828730339558734
53,Jean-Philippe TSCHUMI,H,40-44M,905,Index 800+,Finisher,FALSE,Other,200,173.6,TRUE,1.2955555555555556,2.823611111111111,0.024912026494747375,0.05550208702820876
54,Katie ASMUTH,F,40-44W,761,Index 700–800,Finisher,FALSE,Other,200,173.6,TRUE,1.4736111111111112,3.293888888888889,0.09404869319084398,0.1592918184200339
55,Arnaud BONIN,H,40-44M,903,Index 800+,DNF,TRUE,Abandoned,56,139,TRUE,1.2955555555555556,2.855277777777778,0.027910293639351942,0.03091102224362187
56,Mari Klakegg FENRE,F,35-39W,760,Index 700–800,DNF,TRUE,Abandoned,44,104,TRUE,1.4527777777777777,3.254166666666667,0.11693876694382156,0.20370249125370793
57,Jiasheng SHEN,H,20-34M,903,Index 800+,DNF,TRUE,Abandoned,40,99.4,TRUE,1.2944444444444445,2.8194444444444446,0.029021404750463005,0.06674435557695506
58,Anna LI,F,20-34W,758,Index 700–800,Finisher,FALSE,Other,200,173.6,TRUE,1.5863888888888888,3.549166666666667,-0.012539767437070585,-0.08188120219558405
59,Théo DETIENNE,H,20-34M,903,Index 800+,Finisher,FALSE,Other,200,173.6,TRUE,1.2866666666666666,2.8313888888888887,0.03679918252824089,0.05479991113251095
60,Emilie MANN,F,20-34W,756,Index 700–800,Finisher,FALSE,Other,200,173.6,TRUE,1.565,3.444722222222222,0.013007387108655913,0.03203255918688438
62,Aroa SIO,F,45-49W,754,Index 700–800,DNF,TRUE,Abandoned,22,67.8,FALSE,1.5930555555555554,3.551388888888889,-0.010863940576989407,-0.06511121621415297
64,Claudia TREMPS,F,20-34W,752,Index 700–800,DNF,TRUE,Abandoned,44,104,TRUE,1.448888888888889,3.2441666666666666,0.13751318945911334,0.25168803554159574
