bib,fullname,sex,age,category,country_code,club,utmb_index,status,outcome,is_finisher,rank_scratch,rank_sex,rank_cat,race_time,race_time_seconds,total_rest_time_seconds,last_point_id,n_passings,start_time
3,Courtney DAUWALTER,F,41,40-44W,US,Salomon,859,a,DNF,FALSE,2210,376,77,08:08:11,29291.73,139.34,22,8,2026-08-28T17:48:12.000Z
5,Riley BRADY,F,31,20-34W,US,Nike ACG,826,f,Finisher,TRUE,110,13,4,25:16:54,91014.19,1949.51,200,26,2026-08-28T17:48:12.000Z
6,Ben DHIMAN,H,35,35-39M,US,Asics Trail,946,f,Finisher,TRUE,1,1,1,18:16:29,65789.98,563.24,200,26,2026-08-28T17:48:12.000Z
7,Fuzhao XIANG,F,35,35-39W,CN,ARC'TERYX,823,a,DNF,FALSE,2333,396,99,03:40:56,12501.46,755.01,10,3,2026-08-28T17:48:12.000Z
8,Caleb OLSON,H,31,20-34M,US,All Conditions Racing Department,945,f,Finisher,TRUE,3,3,2,18:48:24,67704.51,758.22,200,26,2026-08-28T17:48:12.000Z
10,Hannes NAMBERGER,H,37,35-39M,DE,Dynafit,941,f,Finisher,TRUE,6,6,2,19:13:51,69231.76,668.8900000000001,200,26,2026-08-28T17:48:12.000Z
12,Vincent BOUILLARD,H,33,20-34M,FR,HOKA,941,a,DNF,FALSE,2207,1832,345,07:55:04,28504.15,454.57,22,8,2026-08-28T17:48:12.000Z
13,Abby HALL,F,36,35-39W,US,adidas,808,f,Finisher,TRUE,151,22,11,26:24:58,95098.46,1627.1299999999999,200,26,2026-08-28T17:48:12.000Z
14,Jonathan ALBON,H,37,35-39M,GB,The North Face Trail,938,a,DNF,FALSE,1809,1511,289,13:12:23,47480.52,384.61,48,16,2026-08-28T17:48:12.000Z
15,Blandine L HIRONDEL,F,35,35-39W,FR,Kiprun,807,f,Finisher,TRUE,26,1,1,21:54:49,78889.17,1300.52,200,26,2026-08-28T17:48:12.000Z
16,Chris MYERS,H,30,20-34M,US,Brooks,937,a,DNF,FALSE,1808,1510,294,13:10:53,47418.54,400.09,48,17,2026-08-28T17:48:12.000Z
17,Lucy BARTHOLOMEW,F,30,20-34W,AU,Salomon,799,f,Finisher,TRUE,63,7,2,23:44:29,85469.54,1310.8199999999997,200,26,2026-08-28T17:48:12.000Z
19,Eszter CSILLAG,F,41,40-44W,HU,HOKA,798,a,DNF,FALSE,2110,352,71,11:00:27,39627.5,421.73,28,11,2026-08-28T17:48:12.000Z
23,Andreas REITERER,H,34,20-34M,IT,La Sportiva,930,a,DNF,FALSE,2050,1710,323,09:27:35,34055,297.32,36,13,2026-08-28T17:48:12.000Z
24,Antonina IUSHINA,F,33,20-34W,AN,,791,f,Finisher,TRUE,66,8,3,23:49:58,85798.55,1438.8700000000001,200,26,2026-08-28T17:48:12.000Z
25,Baptiste CHASSAGNE,H,33,20-34M,FR,TEAM ON,926,f,Finisher,TRUE,2,2,1,18:47:38,67658.6,842.4499999999999,200,26,2026-08-28T17:48:12.000Z
26,Shea AQUILANO,F,25,20-34W,US,nike/acg,789,f,Finisher,TRUE,224,39,12,28:14:46,101686.75,4657.53,200,26,2026-08-28T17:48:12.000Z
27,Josh WADE,H,32,20-34M,GB,The North Face,920,a,DNF,FALSE,2209,1834,346,08:00:47,28847.96,142.31,22,8,2026-08-28T17:48:12.000Z
30,Rachel DRAKE,F,35,35-39W,US,NIKE ACG,786,f,Finisher,TRUE,164,25,13,26:42:39,96159.09,3387.87,200,26,2026-08-28T17:48:12.000Z
31,Drew HOLMEN,H,34,20-34M,US,Nike ACG & The Feed,920,f,Finisher,TRUE,12,12,7,20:24:49,73489.37,1227.1100000000001,200,26,2026-08-28T17:48:12.000Z
32,Lin CHEN,F,35,35-39W,CN,Adidas TERREX,782,f,Finisher,TRUE,112,14,7,25:21:43,91303.09,1683.74,200,26,2026-08-28T17:48:12.000Z
33,Rod FARVARD,H,31,20-34M,US,HOKA,915,a,DNF,FALSE,2206,1831,344,07:41:07,27667.15,203.88,22,8,2026-08-28T17:48:12.000Z
34,Rachel ENTREKIN,F,35,35-39W,US,Norda,781,f,Finisher,TRUE,32,2,2,22:15:54,80154.93,753.0699999999999,200,26,2026-08-28T17:48:12.000Z
35,Raul Octaviu BUTACI,H,41,40-44M,RO,Mount to Coast,913,f,Finisher,TRUE,13,13,3,20:26:46,73606.05,1790.67,200,25,2026-08-28T17:48:12.000Z
36,Martina VALMASSOI,F,37,35-39W,IT,Team Salomon,781,a,DNF,FALSE,1907,321,83,12:19:01,44341.29,416.92,40,15,2026-08-28T17:48:12.000Z
37,Tobias GEISER,H,36,35-39M,IT,Dynafit Team/Coros,913,a,DNF,FALSE,1710,1437,270,16:41:25,59832.17,864.67,58,21,2026-08-28T17:48:12.000Z
39,Paul CORNUT CHAUVINC,H,28,20-34M,FR,ASICS ,912,a,DNF,FALSE,2101,1750,331,09:18:24,33504.76,150.91,28,11,2026-08-28T17:48:12.000Z
40,Eleanor DAVIS,F,37,35-39W,GB,The North Face,774,a,DNF,FALSE,1814,299,76,16:06:49,56996,1619.9699999999998,48,17,2026-08-28T17:48:12.000Z
41,Joaquin LOPEZ,H,34,20-34M,EC,Kailas FUGA,912,f,Finisher,TRUE,5,5,4,19:06:48,68808.07,642.6600000000001,200,26,2026-08-28T17:48:12.000Z
43,Antoine CHARVOLIN,H,29,20-34M,FR,ON trail team,910,f,Finisher,TRUE,8,8,6,19:40:33,70833.26,591.12,200,26,2026-08-28T17:48:12.000Z
44,Jazmine LOWTHER,F,34,20-34W,CA,Arc'teryx,772,f,Finisher,TRUE,56,5,1,23:21:55,84115.48,2031.9600000000003,200,26,2026-08-28T17:48:12.000Z
45,Canyon WOODWARD,H,33,20-34M,US,Green Racing Project,907,a,DNF,FALSE,2327,1933,363,03:31:38,11448.92,1249.2,10,3,2026-08-28T17:48:12.000Z
46,Ekaterina MITYAEVA,F,37,35-39W,AN,adidas ,769,a,DNF,FALSE,1820,302,78,17:26:04,57968.85,5308.9000000000005,48,17,2026-08-28T17:48:12.000Z
47,Zach MILLER,H,38,35-39M,US,The North Face,908,a,DNF,FALSE,1698,1426,266,23:00:15,82815.06,1897.794,62,23,2026-08-28T17:48:12.000Z
48,Careth ARNOLD,F,36,35-39W,US,Altra,766,f,Finisher,TRUE,51,4,3,23:05:20,83120.23,1056.6499999999999,200,26,2026-08-28T17:48:12.000Z
49,Ionel Cristian MANOLE MANOLE,H,38,35-39M,ES,SALOMON,904,a,DNF,FALSE,1738,1460,275,15:40:54,56361.86,1313.52,52,19,2026-08-28T17:48:12.000Z
50,Katarzyna DOMBROWSKA,F,36,35-39W,PL,On Trail Team,764,f,Finisher,TRUE,57,6,4,23:27:34,84454.68,2355.47,200,26,2026-08-28T17:48:12.000Z
51,Yannick NOËL,H,40,40-44M,FR,Inov8,905,f,Finisher,TRUE,9,9,1,19:51:42,71502.89,1215.1999999999998,200,26,2026-08-28T17:48:12.000Z
52,Anna LOUDEN,F,33,20-34W,US,Brooks Trail Runners,763,f,Finisher,TRUE,169,27,8,26:44:55,96295.32,1413.1399999999999,200,26,2026-08-28T17:48:12.000Z
53,Jean-Philippe TSCHUMI,H,44,40-44M,CH,KAILAS FUGA,905,f,Finisher,TRUE,10,10,2,19:58:24,71904.44,620.43,200,26,2026-08-28T17:48:12.000Z
54,Katie ASMUTH,F,40,40-44W,US,HOKA,761,f,Finisher,TRUE,173,28,5,26:49:59,96599.91,1465.17,200,26,2026-08-28T17:48:12.000Z
55,Arnaud BONIN,H,41,40-44M,FR,Kailas Fuga,903,a,DNF,FALSE,1732,1455,337,17:22:10,62530,812.83,56,20,2026-08-28T17:48:12.000Z
56,Mari Klakegg FENRE,F,39,35-39W,NO,Hoka,760,a,DNF,FALSE,1889,313,82,13:58:13,50293,430.78999999999996,44,16,2026-08-28T17:48:12.000Z
