bib,fullname,sex,age,category,country_code,club,utmb_index,rank_scratch,rank_sex,rank_cat,race_time,diff_to_first,is_finisher,status,start_time,profile_url,race_time_seconds,total_rest_time,total_rest_time_seconds,n_passings
6,Ben DHIMAN,H,35,35-39M,US,Asics Trail,946,1,1,1,18:16:29,00:00:00,TRUE,f,2026-08-28T17:48:12.000Z,https://utmb.world/runner/1409387.ben.dhiman,65789.98,0:09:23,563.24,27
25,Baptiste CHASSAGNE,H,33,20-34M,FR,TEAM ON,926,2,2,1,18:47:38,00:31:09,TRUE,f,2026-08-28T17:48:12.000Z,https://utmb.world/runner/1250019.baptiste.chassagne,67658.6,0:14:02,842.4499999999999,27
8,Caleb OLSON,H,31,20-34M,US,All Conditions Racing Department,945,3,3,2,18:48:24,00:31:55,TRUE,f,2026-08-28T17:48:12.000Z,https://utmb.world/runner/2574519.caleb.olson,67704.51,0:12:38,758.22,27
101,Virgile MORISET,H,25,20-34M,FR,ASICS TRAIL,879,4,4,3,19:00:23,00:43:54,TRUE,f,2026-08-28T17:48:12.000Z,https://utmb.world/runner/3586861.virgile.moriset,68423.89,0:14:22,861.6569999999999,27
41,Joaquin LOPEZ,H,34,20-34M,EC,Kailas FUGA,912,5,5,4,19:06:48,00:50:19,TRUE,f,2026-08-28T17:48:12.000Z,https://utmb.world/runner/243895.joaquin.lopez,68808.07,0:10:43,642.6600000000001,27
10,Hannes NAMBERGER,H,37,35-39M,DE,Dynafit,941,6,6,2,19:13:51,00:57:22,TRUE,f,2026-08-28T17:48:12.000Z,https://utmb.world/runner/1008473.hannes.namberger,69231.76,0:11:09,668.8900000000001,27
73,Gautier BONNECARRERE,H,34,20-34M,FR,La Sportiva,888,7,7,5,19:23:16,01:06:47,TRUE,f,2026-08-28T17:48:12.000Z,https://utmb.world/runner/2481427.gautier.bonnecarrere,69796.97,0:12:49,769.47,27
43,Antoine CHARVOLIN,H,29,20-34M,FR,ON trail team,910,8,8,6,19:40:33,01:24:04,TRUE,f,2026-08-28T17:48:12.000Z,https://utmb.world/runner/1610627.antoine.charvolin,70833.26,0:09:51,591.12,27
51,Yannick NOËL,H,40,40-44M,FR,Inov8,905,9,9,1,19:51:42,01:35:13,TRUE,f,2026-08-28T17:48:12.000Z,https://utmb.world/runner/1312055.yannick.noel,71502.89,0:20:15,1215.1999999999998,27
53,Jean-Philippe TSCHUMI,H,44,40-44M,CH,KAILAS FUGA,905,10,10,2,19:58:24,01:41:55,TRUE,f,2026-08-28T17:48:12.000Z,https://utmb.world/runner/970923.jeanphilippe.tschumi,71904.44,0:10:20,620.43,27
131,Pablo VILLA,H,38,35-39M,ES,adidas,864,11,11,3,20:15:37,01:59:08,TRUE,f,2026-08-28T17:48:12.000Z,https://utmb.world/runner/140937.pablo.villa,72937.94,0:15:53,953.4899999999999,27
31,Drew HOLMEN,H,34,20-34M,US,Nike ACG & The Feed,920,12,12,7,20:24:49,02:08:20,TRUE,f,2026-08-28T17:48:12.000Z,https://utmb.world/runner/1030827.drew.holmen,73489.37,0:20:27,1227.1100000000001,27
35,Raul Octaviu BUTACI,H,41,40-44M,RO,Mount to Coast,913,13,13,3,20:26:46,02:10:17,TRUE,f,2026-08-28T17:48:12.000Z,https://utmb.world/runner/669176.rauloctaviu.butaci,73606.05,0:29:51,1790.67,27
85,Andreas RIEDER,H,40,40-44M,AT,BROOKS TRAILRUNNERS,881,14,14,4,20:33:24,02:16:55,TRUE,f,2026-08-28T17:48:12.000Z,https://utmb.world/runner/3034585.andreas.rieder,74004.49,0:23:23,1403.1599999999999,27
117,Cody LIND,H,31,20-34M,US,ADIDAS,869,15,15,8,20:37:25,02:20:56,TRUE,f,2026-08-28T17:48:12.000Z,https://utmb.world/runner/2667843.cody.lind,74245.4,0:15:30,929.58,27
255,Jérémy NION,H,39,35-39M,FR,CRRA,832,16,16,4,20:48:28,02:31:59,TRUE,f,2026-08-28T17:48:12.000Z,https://utmb.world/runner/1029095.jeremy.nion,74908.7,0:30:38,1838.3,27
119,Kamil LEŚNIAK,H,33,20-34M,PL,Hoka Garmin Team,868,17,17,9,20:56:49,02:40:20,TRUE,f,2026-08-28T17:48:12.000Z,https://utmb.world/runner/107261.kamil.lesniak,75409.86,0:14:54,894.4300000000001,27
121,Aubin FERRARI,H,29,20-34M,FR,ALTRA RUNNING EUROPE,867,18,18,10,20:56:53,02:40:24,TRUE,f,2026-08-28T17:48:12.000Z,https://utmb.world/runner/904167.aubin.ferrari,75413.96,0:20:52,1252.3899999999999,27
127,Andy SYMONDS,H,45,45-49M,GB,SCOTT RUNNING,865,19,19,1,20:59:58,02:43:29,TRUE,f,2026-08-28T17:48:12.000Z,https://utmb.world/runner/5960.andy.symonds,75598.4,0:14:20,859.6600000000001,27
